epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9605,1.26664,3.96295,1.47766,0.38093,0.48645,0.32052,0.14796,2.17383,3.70674,2.30819,0.00054845,0.00054845,0.00054845
2,48.4323,0.85791,0.73615,1.08604,0.85264,0.98889,0.97441,0.49033,1.72705,8.56873,2.36096,0.001104,0.001104,0.001104
3,66.4838,0.8527,0.63319,1.07844,0,0,0,0,nan,nan,nan,0.00165906,0.00165906,0.00165906
4,85.1958,0.7729,0.57578,1.05012,0.96859,0.41463,0.69646,0.48334,0.80916,2.4491,1.0646,0.00166537,0.00166537,0.00166537
5,103.312,0.79975,0.53129,1.05911,0.93385,0.9878,0.99396,0.80209,0.76522,1.17276,1.04047,0.00166411,0.00166411,0.00166411
6,120.677,0.70802,0.46599,1.01429,0.9753,1,0.995,0.68331,1.22329,0.81656,1.34022,0.00166248,0.00166248,0.00166248
7,138.13,0.69477,0.43381,0.9933,0.98885,1,0.99407,0.74503,1.01605,0.46162,1.17414,0.00166049,0.00166049,0.00166049
8,155.429,0.62229,0.41237,0.95454,0.99649,1,0.995,0.85682,0.61903,0.43981,0.977,0.00165815,0.00165815,0.00165815
9,172.858,0.64464,0.40007,0.96374,0.99902,1,0.995,0.86221,0.61707,0.2984,0.93879,0.00165544,0.00165544,0.00165544
10,190.968,0.5771,0.35576,0.93123,0.99353,1,0.995,0.89051,0.4894,0.39389,0.89064,0.00165238,0.00165238,0.00165238
11,209.367,0.58743,0.36584,0.95579,0.99594,1,0.995,0.84053,0.6199,0.31799,0.94131,0.00164897,0.00164897,0.00164897
12,227.271,0.56812,0.36161,0.92893,0.9941,1,0.995,0.73941,1.02876,0.47927,1.15939,0.0016452,0.0016452,0.0016452
13,245.305,0.59938,0.35314,0.94646,0.99807,1,0.995,0.89097,0.49345,0.2873,0.89704,0.00164108,0.00164108,0.00164108
14,263.46,0.54843,0.32798,0.90964,0.99773,1,0.995,0.83911,0.67719,0.36609,0.96563,0.0016366,0.0016366,0.0016366
15,281.478,0.52102,0.32158,0.90868,0.99898,1,0.995,0.89387,0.49515,0.27292,0.88887,0.00163178,0.00163178,0.00163178
16,300.289,0.5285,0.31547,0.91361,0.99821,1,0.995,0.89923,0.47941,0.26784,0.87766,0.00162661,0.00162661,0.00162661
